index,distance,elevation
319,957.0,315.0
320,960.0,320.75
321,963.0,329.25
322,966.0,337.5
323,969.0,336.5
324,972.0,354.75
325,975.0,343.25
326,978.0,343.75
327,981.0,361.25
328,984.0,382.5
329,987.0,369.5
330,990.0,357.0
331,993.0,348.0
332,996.0,345.75
333,999.0,344.0
334,1002.0,328.25
335,1005.0,329.0
336,1008.0,334.5
337,1011.0,334.5
338,1014.0,336.75
339,1017.0,342.25
340,1020.0,349.75
341,1023.0,346.5
342,1026.0,351.5
343,1029.0,355.0
344,1032.0,361.0
345,1035.0,369.25
346,1038.0,372.25
347,1041.0,378.75
348,1044.0,378.75
349,1047.0,379.5
350,1050.0,377.5
351,1053.0,368.5
352,1056.0,365.25
353,1059.0,357.25
354,1062.0,356.25
355,1065.0,356.5
356,1068.0,357.25
357,1071.0,356.75
358,1074.0,357.0
359,1077.0,357.25
360,1080.0,376.0
361,1083.0,378.0
362,1086.0,387.75
363,1089.0,396.75
364,1092.0,408.5
365,1095.0,394.5
366,1098.0,377.0
367,1101.0,365.25
368,1104.0,362.25
369,1107.0,359.25
370,1110.0,358.0
371,1113.0,359.0
372,1116.0,361.75
373,1119.0,360.75
374,1122.0,360.25
375,1125.0,363.25
376,1128.0,364.0
377,1131.0,364.0
378,1134.0,377.5
379,1137.0,377.5
380,1140.0,385.25
381,1143.0,390.75
382,1146.0,395.75
383,1149.0,395.75
384,1152.0,398.5
385,1155.0,404.0
386,1158.0,409.75
387,1161.0,414.0
388,1164.0,419.25
389,1167.0,425.0
390,1170.0,428.0
391,1173.0,431.0
392,1176.0,431.0
393,1179.0,443.5
394,1182.0,444.5
395,1185.0,447.5
396,1188.0,451.5
397,1191.0,455.0
398,1194.0,461.5
399,1197.0,489.5
400,1200.0,490.75
401,1203.0,499.25
402,1206.0,497.5
403,1209.0,502.75
404,1212.0,510.5
405,1215.0,520.25
406,1218.0,538.0
407,1221.0,528.5
408,1224.0,522.25
409,1227.0,508.5
410,1230.0,506.75
411,1233.0,515.75
412,1236.0,504.0
413,1239.0,492.25
414,1242.0,495.25
415,1245.0,481.0
416,1248.0,477.5
417,1251.0,479.75
418,1254.0,485.5
419,1257.0,485.0
420,1260.0,487.0
421,1263.0,495.25
422,1266.0,496.5
423,1269.0,500.25
424,1272.0,507.75
425,1275.0,510.0
426,1278.0,515.0
427,1281.0,518.75
428,1284.0,519.5
429,1287.0,528.5
430,1290.0,540.0
431,1293.0,537.0
432,1296.0,541.5
433,1299.0,545.75
434,1302.0,551.5
435,1305.0,555.5
436,1308.0,564.0
437,1311.0,566.75
438,1314.0,573.75
439,1317.0,580.25
440,1320.0,583.25
441,1323.0,590.0
442,1326.0,590.0
443,1329.0,599.5
444,1332.0,601.75
445,1335.0,609.75
446,1338.0,613.0
447,1341.0,627.5
448,1344.0,627.5
449,1347.0,634.0
450,1350.0,643.25
451,1353.0,647.75
452,1356.0,651.25
453,1359.0,653.0
454,1362.0,660.25
455,1365.0,665.75
456,1368.0,669.25
457,1371.0,659.75
458,1374.0,653.75
459,1377.0,646.0
460,1380.0,653.25
461,1383.0,665.5
462,1386.0,670.25
463,1389.0,670.25
464,1392.0,641.25
465,1395.0,641.25
466,1398.0,641.25
467,1401.0,639.0
468,1404.0,646.75
469,1407.0,650.0
470,1410.0,650.0
471,1413.0,663.25
472,1416.0,666.0
473,1419.0,678.75
474,1422.0,679.75
475,1425.0,687.75
476,1428.0,694.0
477,1431.0,701.25
478,1434.0,704.25
479,1437.0,706.25
480,1440.0,710.0
481,1443.0,709.75
482,1446.0,709.5
483,1449.0,705.0
484,1452.0,706.0
485,1455.0,717.25
486,1458.0,719.0
487,1461.0,719.0
488,1464.0,714.5
489,1467.0,717.0
490,1470.0,723.25
491,1473.0,729.75
492,1476.0,726.75
493,1479.0,709.5
494,1482.0,700.25
495,1485.0,668.25
496,1488.0,648.0
497,1491.0,609.75
498,1494.0,586.0
499,1497.0,575.25
500,1500.0,568.5
501,1503.0,561.0
502,1506.0,551.0
503,1509.0,546.25
504,1512.0,548.0
505,1515.0,547.0
506,1518.0,558.75
507,1521.0,571.0
508,1524.0,584.0
509,1527.0,605.5
510,1530.0,609.75
511,1533.0,629.5
512,1536.0,604.0
513,1539.0,590.5
514,1542.0,590.0
515,1545.0,603.5
516,1548.0,607.75
517,1551.0,605.0
518,1554.0,595.0
519,1557.0,584.5
520,1560.0,567.5
521,1563.0,562.5
522,1566.0,562.5
523,1569.0,552.5
524,1572.0,533.25
525,1575.0,517.0
526,1578.0,506.5
527,1581.0,518.0
528,1584.0,503.5
529,1587.0,482.25
530,1590.0,471.0
531,1593.0,481.0
532,1596.0,481.0
533,1599.0,465.75
534,1602.0,470.25
535,1605.0,449.75
536,1608.0,436.0
537,1611.0,436.0
538,1614.0,434.25
539,1617.0,428.5
540,1620.0,424.75
541,1623.0,428.75
542,1626.0,429.5
543,1629.0,434.0
544,1632.0,447.25
545,1635.0,456.5
546,1638.0,432.25
547,1641.0,422.5
548,1644.0,416.25
549,1647.0,414.0
550,1650.0,418.75
551,1653.0,423.75
552,1656.0,429.5
553,1659.0,421.25
554,1662.0,420.25
555,1665.0,408.0
556,1668.0,410.75
557,1671.0,413.5
558,1674.0,433.75
559,1677.0,452.0
560,1680.0,443.0
561,1683.0,454.5
562,1686.0,468.0
563,1689.0,451.25
564,1692.0,426.5
565,1695.0,420.0
566,1698.0,411.25
567,1701.0,411.75
568,1704.0,398.0
569,1707.0,404.5
570,1710.0,407.25
571,1713.0,414.75
572,1716.0,422.0
573,1719.0,425.5
574,1722.0,435.25
575,1725.0,442.75
576,1728.0,458.0
577,1731.0,448.5
578,1734.0,449.75
579,1737.0,458.25
580,1740.0,467.25
581,1743.0,481.75
582,1746.0,487.25
583,1749.0,488.75
584,1752.0,492.25
585,1755.0,496.0
586,1758.0,501.25
587,1761.0,513.25
588,1764.0,533.0
589,1767.0,524.0
590,1770.0,511.75
591,1773.0,504.75
592,1776.0,503.25
593,1779.0,510.25
594,1782.0,521.25
595,1785.0,526.5
596,1788.0,532.5
597,1791.0,525.75
598,1794.0,521.25
599,1797.0,513.0
600,1800.0,505.0
601,1803.0,500.25
602,1806.0,493.0
603,1809.0,480.25
604,1812.0,467.25
